word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
шампанский,0.0782697531220324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
по,0.02678919754867052,0,0,0,0,0,0,0.027990828792895057,0.04846324792807258,0,0,0.08003513426252822,0,0,0,0,0.05247301751766943,0,0,0.0391348765610162,0.029705662442040478,0.022025598868069315,0,0.08103249671144774,0.049397420872153264,0,0,0,0.02403310266316668,0.028281128682161816,0,0.02185876335950487,0.015221192492472965,0.043139091822415855,0,0,0,0.0641191331719317,0.01602305147010756,0.01778665364207731
раздевалка,0.0782697531220324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
и,0.014945271431353806,0.028906721791592937,0,0.07559308302127436,0.011855939937812601,0.014285714285714285,0.02932095129469105,0.014285714285714285,0.030189761918498214,0.02857142857142857,0.09187772530940533,0.014978890093574601,0.029545546071426888,0.04049858578794764,0,0,0.04524354899152785,0.015115325019231032,0.08895554398785901,0.027290950443699485,0.12263620840987437,0.07294357513481735,0.07128611118630593,0,0.08611746612314516,0.05272922278699845,0.07128611118630593,0.12817517335553835,0.04520141970437889,0.11785714285714285,0.048928199122645476,0.15988961702684978,0.034105047170158005,0.14469401639800408,0.04319514318320676,0,0.055636727470527725,0.10059301797159796,0.07100229094721337,0.06394998655667161
веселиться,0.0782697531220324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
четвёртый,0.04960397417280571,0.053444401479929855,0,0,0,0,0,0,0,0,0,0,0,0,0.04054028744215725,0.05165788708626609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02409290695724708,0
матч,0.03556072079317688,0.15058296571138974,0.16655848389666275,0,0.04221687445249749,0,0,0,0,0.03814073426153813,0,0,0,0,0.030199346317157837,0.03669073545797748,0.034498059721683724,0.03409090909090909,0.06381382607865098,0.02395319990276128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
завершиться,0.05357839509734104,0,0,0,0,0,0,0,0,0.058989757384928086,0,0,0,0,0.04346690648658782,0,0,0.05067535930269656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
овертайм,0.05870231484152429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04723997466185002,0.06135480279897933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
с,0.03092313979343914,0.015034196669332959,0.026155339400505344,0,0.025232613537248004,0.014883145367066097,0.015218077989940555,0.014883145367066097,0.015493168346816985,0.044649436101198293,0,0,0,0.013749948809722832,0.015399062475221091,0.030538544005085422,0.031134928219808334,0.03118110857697632,0.05168958917947223,0.027807248909065246,0.011310214078904302,0.0298258048708979,0.07276909614001612,0.015396429201604602,0.058138951485481594,0.013417250504022801,0.07276909614001612,0.026072942270004285,0.061831930659843264,0.010863643484623667,0.024856777267375577,0,0.0922904125563933,0.017221025343397374,0.014705882352941176,0.0449107522564211,0,0.029351375791389595,0.08411435208701411,0.07804686435846303
